Timestamp,Quat_w,Quat_x,Quat_y,Quat_z,X Angle,Y Angle,Z Angle
2.490615,0.9974924,-0.06275695,-0.03265452,-0.002054449,352.8,356.25,1.344624E-07
2.506761,0.9980706,-0.06174407,-0.006532449,-0.0004041196,352.92,359.25,6.721356E-09
2.523689,0.9980267,-0.05964336,0.01959873,0.001171245,353.16,2.250001,-2.687168E-08
2.539903,0.9967958,-0.05642767,0.05660217,0.003204196,353.52,6.5,1.074079E-07
2.556721,0.9954396,-0.05425962,0.07834281,0.004270325,353.76,9.000001,0
2.574501,0.993659,-0.05103214,0.1000562,0.005138667,354.12,11.5,5.364308E-08
2.590143,0.9899575,-0.04876342,0.1325282,0.006528087,354.36,15.25,-5.362043E-08
2.606624,0.987918,-0.04658906,0.1476453,0.006962782,354.6,17,1.071974E-07
2.622974,0.9855481,-0.0464773,0.1627146,0.007673433,354.6,18.75,-1.071974E-07
2.639369,0.9830433,-0.04429591,0.1777632,0.008010007,354.84,20.5,0
2.655911,0.9806779,-0.04316033,0.1906245,0.00838952,354.96,22,3.214078E-07
2.672845,0.9745702,-0.03880208,0.2205227,0.008780017,355.44,25.5,0
2.688586,0.9711289,-0.03764654,0.2353894,0.009125045,355.56,27.25,0
2.705118,0.9674597,-0.03648969,0.2502021,0.009436876,355.68,29,0
2.723289,0.9641394,-0.03535342,0.2628546,0.009638448,355.8,30.5,0
2.739142,0.9612511,-0.03423958,0.2733662,0.009737248,355.92,31.75001,-4.279714E-07
2.755628,0.9600845,-0.03319138,0.277568,0.009595891,356.04,32.25,-2.139542E-07
2.77214,0.9582815,-0.03212437,0.2838559,0.009515675,356.16,33,0
2.788395,0.9570988,-0.03007807,0.288054,0.009052472,356.4,33.5,0
2.814574,0.9552827,-0.02701721,0.2943397,0.008324488,356.76,34.25,2.137851E-07
2.825468,0.9520695,-0.02493084,0.3047599,0.007980425,357,35.5,-2.137363E-07
2.836806,0.9507562,-0.02390017,0.3089195,0.007765635,357.12,36,-3.2057E-07
2.853057,0.9494472,-0.02187759,0.3130807,0.007214146,357.36,36.5,0
2.8701,0.948136,-0.01886734,0.3172418,0.006312923,357.72,36.99999,5.340313E-08
2.886413,0.9446895,-0.01484039,0.3275897,0.0051462,358.2,38.24999,2.135488E-07
2.902825,0.9432801,-0.01284222,0.3317187,0.004516165,358.44,38.75,1.601419E-07
2.919951,0.9433049,-0.0108666,0.3317275,0.003821404,358.68,38.75,-2.668751E-08
2.936359,0.9426084,-0.007896987,0.3337952,0.00279647,359.04,39,2.668417E-08
2.952649,0.9418981,-0.004931837,0.335858,0.001758573,359.4,39.25,-1.334095E-08
2.970808,0.9404319,-0.002954489,0.3399676,0.001068052,359.64,39.75001,-1.334048E-08
2.985472,0.9396927,-2.432169E-08,0.3420202,8.85237E-09,-2.965928E-06,40,-1.017777E-13
3.005157,0.9374319,0.001963332,0.3481623,-0.0007291814,0.239997,40.75,6.670165E-09
3.019588,0.9351101,0.006854814,0.3542815,-0.002597056,0.8399971,41.5,2.66833E-08
3.035174,0.9335067,0.01173138,0.3583397,-0.004503258,1.439997,42,-1.067554E-07
3.051863,0.9318771,0.01561519,0.3623871,-0.006072415,1.919997,42.5,-1.067817E-07
3.075801,0.9294119,0.01946838,0.3684494,-0.007717906,2.399997,43.25,-1.068154E-07
3.087798,0.9277298,0.02234918,0.3724748,-0.008972985,2.759998,43.75,0
3.101058,0.927655,0.02526361,0.3724448,-0.0101431,3.119998,43.75,1.068801E-07
3.117387,0.9267853,0.02718253,0.3744455,-0.01098246,3.359997,43.99999,-1.069055E-07
3.135613,0.9266953,0.03009398,0.3744092,-0.01215876,3.719997,44,-3.208411E-07
3.150189,0.9257773,0.03297595,0.3763898,-0.01340691,4.079998,44.24999,-4.279714E-07
3.166664,0.9257062,0.03491483,0.3763609,-0.01419519,4.319999,44.25,-1.070258E-07
3.183584,0.9255919,0.03782284,0.3763144,-0.01537749,4.679998,44.25,-5.353936E-07
3.200311,0.9254254,0.04169961,0.3762468,-0.01695365,5.159998,44.25,2.143119E-07
3.216779,0.9261546,0.04367633,0.3741907,-0.01764638,5.399998,44,0
3.233172,0.929091,0.04966726,0.3659787,-0.01956445,6.12,43.00001,8.586673E-07
3.25291,0.9335846,0.05383014,0.3537036,-0.02039442,6.599999,41.5,0
3.268248,0.9380191,0.05605719,0.341411,-0.02040314,6.839999,40,2.149735E-07
3.283001,0.9422877,0.0582931,0.3290616,-0.02035686,7.079998,38.5,-6.452502E-07
3.29979,0.9437145,0.05838137,0.3249469,-0.02010232,7.079999,37.99999,0
3.315905,0.945821,0.0585117,0.3187635,-0.01971979,7.08,37.25001,0
3.332908,0.9472029,0.05859718,0.3146335,-0.0194643,7.079999,36.75,-4.301668E-07
3.349089,0.9472029,0.05859718,0.3146335,-0.0194643,7.079999,36.75,-4.301668E-07
3.365681,0.9472029,0.05859718,0.3146335,-0.0194643,7.079999,36.75,-4.301668E-07
3.382272,0.9472029,0.05859718,0.3146335,-0.0194643,7.079999,36.75,-4.301668E-07
3.399024,0.9472029,0.05859718,0.3146335,-0.0194643,7.079999,36.75,-4.301668E-07
3.415531,0.9472029,0.05859718,0.3146335,-0.0194643,7.079999,36.75,-4.301668E-07
3.431928,0.9472029,0.05859718,0.3146335,-0.0194643,7.079999,36.75,-4.301668E-07
3.448393,0.9478871,0.0586395,0.3125663,-0.01933641,7.079998,36.5,-2.150834E-07
3.46523,0.9485667,0.05868156,0.3104976,-0.01920843,7.08,36.25,0
3.48274,0.9492419,0.05872332,0.3084274,-0.01908036,7.079999,36,2.150834E-07
3.498584,0.9519584,0.05789072,0.3001513,-0.01825288,6.959999,35,-2.150279E-07
3.514406,0.9541371,0.05401276,0.2939866,-0.0166423,6.48,34.25,-6.444474E-07
3.531723,0.9555759,0.05108309,0.2898708,-0.01549588,6.12,33.75,5.366671E-07
3.548208,0.9569876,0.04814399,0.2857452,-0.01437522,5.759999,33.25001,3.217898E-07
3.564759,0.9577075,0.04616952,0.2836859,-0.01367604,5.519999,33,-4.288756E-07
3.581291,0.9577075,0.04616952,0.2836859,-0.01367604,5.519999,33,-4.288756E-07
3.597203,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
3.614651,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
3.631101,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
3.646416,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
3.663085,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
3.683971,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
3.696459,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
3.712839,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
